episode,return,length
0,878.4438828115124,1001
1,881.4946359081416,1001
2,875.2214312585583,1001
3,882.7463949153399,1001
4,875.8941962683052,1001
5,875.5403443994605,1001
6,879.4220226331379,1001
7,876.6533907964314,1001
8,888.284426001578,1001
9,875.7060976953777,1001
10,876.6406015198245,1001
11,875.0369069026492,1001
12,875.4760159445974,1001
13,877.4104285320916,1001
14,884.5385473632541,1001
15,880.4060783485282,1001
16,875.3239275971086,1001
17,877.5511353774825,1001
18,879.2404538439072,1001
19,875.1132152938914,1001
20,882.9217058840247,1001
21,885.8721823573908,1001
22,877.6102370292299,1001
23,876.7768746042385,1001
24,876.5159064452336,1001
25,877.2302676307936,1001
26,879.0539867868978,1001
27,876.9217286920853,1001
28,878.3631492747627,1001
29,875.5386525211809,1001
30,875.3971385411922,1001
31,876.5239270578525,1001
32,876.1137248080847,1001
33,876.2697364834809,1001
34,885.248803879722,1001
35,880.939872082329,1001
36,881.7088005714692,1001
37,881.0976739683299,1001
38,887.5964233845539,1001
39,875.3553006890685,1001
40,880.7510148887831,1001
41,880.4921971453541,1001
42,877.1577712962869,1001
43,878.5936604806965,1001
44,877.3087359038822,1001
45,882.0025738722532,1001
46,877.6270264863133,1001
47,878.2671487040518,1001
48,877.8177751378275,1001
49,883.183536827293,1001
50,876.8155474928376,1001
51,879.4433597414318,1001
52,876.3456197037398,1001
53,881.647572641261,1001
54,876.8691631243095,1001
55,882.2452806389764,1001
56,881.5308656145131,1001
57,878.1560825566908,1001
58,876.576175356001,1001
59,877.1974351297431,1001
60,876.7129266075692,1001
61,879.6083184672694,1001
62,879.7362247138942,1001
63,888.4060041314498,1001
64,877.304940506869,1001
65,878.9961082888332,1001
66,877.1984422368955,1001
67,878.8590430650405,1001
68,878.0615912662528,1001
69,875.0335852110775,1001
70,876.2736478970298,1001
71,876.8114946272599,1001
72,876.7676260710575,1001
73,878.7337218520944,1001
74,875.3972811937138,1001
75,877.9379504925654,1001
76,878.4460922163584,1001
77,877.9954073302617,1001
78,879.3568302216847,1001
79,876.4766698838031,1001
80,878.0532582157635,1001
81,875.7882422754116,1001
82,876.7426467396876,1001
83,883.3757854062943,1001
84,877.717994599708,1001
85,875.9813026519894,1001
86,889.0340106156528,1001
87,883.1360312286998,1001
88,876.2521091568835,1001
89,875.3055050479917,1001
90,880.8525571928782,1001
91,880.2638375077527,1001
92,879.6908473014302,1001
93,876.1316507440332,1001
94,875.5001772216316,1001
95,883.4572445681537,1001
96,876.2411415226196,1001
97,882.5677810024615,1001
98,877.1139655565021,1001
99,877.8834691688296,1001
