episode,return,length
0,993.3001464199938,1001
1,994.2299594637581,1001
2,988.7132524704542,1001
3,990.3592568344893,1001
4,990.7683118169418,1001
5,993.2738308290465,1001
6,986.7725232258574,1001
7,988.2761865928785,1001
8,992.1606749417846,1001
9,985.0115500748595,1001
10,987.1945239517314,1001
11,981.3488079557351,1001
12,989.494907288317,1001
13,996.0924118653425,1001
14,977.7835555580773,1001
15,983.3307266012537,1001
16,991.0147323801835,1001
17,991.8943778898729,1001
18,985.6967007510768,1001
19,988.8069296170983,1001
20,990.1760873701674,1001
21,988.0220746053842,1001
22,983.1120633814836,1001
23,991.4200433254931,1001
24,987.8493052876504,1001
25,993.7653905952599,1001
26,986.3963131024085,1001
27,980.973366080133,1001
28,979.2829932785493,1001
29,985.9154329081613,1001
30,989.663539069314,1001
31,986.1045596848787,1001
32,985.332769449358,1001
33,986.1621793414263,1001
34,989.553318995501,1001
35,995.14795258235,1001
36,988.6693707294189,1001
37,977.906335208864,1001
38,991.2641044584212,1001
39,993.3844046089066,1001
40,990.8160329134768,1001
41,987.5243050186907,1001
42,991.8912064887865,1001
43,990.8004302437135,1001
44,983.5534861346861,1001
45,994.651721612255,1001
46,992.6327577505882,1001
47,989.3279415162092,1001
48,989.8739152880048,1001
49,992.4360486769134,1001
50,980.2799301217511,1001
51,994.2071628902758,1001
52,985.7085780139316,1001
53,990.5748998353952,1001
54,983.2709809564299,1001
55,984.3602985748761,1001
56,992.4357146031933,1001
57,991.5044758051688,1001
58,990.6584290469327,1001
59,992.4754439754679,1001
60,990.7205082525804,1001
61,982.6986034883154,1001
62,977.107516726341,1001
63,992.808517505084,1001
64,978.2630810578942,1001
65,991.9632867920068,1001
66,989.0770670862898,1001
67,990.4529451976736,1001
68,992.3233557521364,1001
69,977.984564927456,1001
70,988.3537938277168,1001
71,987.7699880726317,1001
72,989.9955923213666,1001
73,990.5564465290591,1001
74,990.3261527880996,1001
75,987.6877425336618,1001
76,991.9173539220051,1001
77,989.2996536150085,1001
78,983.6993103271102,1001
79,986.6033373122452,1001
80,986.4057494563295,1001
81,993.1741274060945,1001
82,981.2776876131496,1001
83,983.9324549924418,1001
84,983.022287927035,1001
85,990.821531649265,1001
86,991.3443108785839,1001
87,977.2167858781107,1001
88,985.8462338484062,1001
89,980.8865113981311,1001
90,989.4578199774237,1001
91,988.3506706081273,1001
92,986.9745876160613,1001
93,989.7361174772794,1001
94,992.2530689102691,1001
95,989.0585557738449,1001
96,986.9898758968181,1001
97,988.7293453945259,1001
98,991.3630912214121,1001
99,987.3947451006072,1001
